student_id,name,gender,group,math_score,python_score,english_score
1,Aisha,Female,SE-101,67,64,86
2,Daniyar,Male,SE-101,70,83,76
3,Zarina,Female,SE-102,84,48,56
4,Arman,Male,SE-102,76,90,98
5,Gulnur,Female,SE-103,70,93,57
6,Bekzat,Male,SE-103,86,78,93
7,Saltanat,Female,SE-101,70,88,80
8,Nursultan,Male,SE-102,92,69,92
9,Madina,Female,SE-103,91,49,51
10,Yerlan,Male,SE-101,51,83,100
11,Aizat,Female,SE-102,74,93,58
12,Timur,Male,SE-103,74,72,79
13,Moldir,Female,SE-101,65,46,76
14,Azat,Male,SE-102,71,48,56
15,Diana,Female,SE-103,45,96,54
16,Sanzhar,Male,SE-101,47,69,85
17,Ainur,Female,SE-102,62,75,54
18,Marat,Male,SE-103,45,67,70
19,Kamila,Female,SE-101,86,92,61
20,Dauren,Male,SE-102,94,82,62
